codigo,nome,preco_unit,qtd_estoque
1,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete",2433.8,97
2,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",1196.58,203
3,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",1975.0,313
4,Guillow Airplane Design Studio with Travel Case Building Kit,119526,340
5,Woodstock- Collage 500 pc Puzzle,2386.94,76
6,"Terra by Battat � 4 Dinosaur Toys, Medium � Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",172.68,247
7,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small",959.38,84
8,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",984838,232
9,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",1956.87,117
10,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,2284.0,333
11,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",2484.49,13
12,DC Cover Girls: Black Canary by Jo�lle Jones Statue,3073.94,35
13,"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange",842161,308
14,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)",3802.1,255
15,C&D Visionary DC Comic Originals Flash Logo Sticker,2332.9,78
16,"The Learning Journey ABC Melody Maker, Primary",3040.18,177
17,"The Complete Common Core: State Standards Kit, Grade 5",1544.61,70
18,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs,3244.0,246
19,Schylling Veterinarian Kit,693.5,75
20,Yellies! Frizz,3314.49,276
21,Disney HK318329 Sofia The First Sleepover Set,170.0,174
22,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4,2227.57,274
23,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix",3806.4,276
24,"Big Party Pack Orange Peel Plastic Plates | 10.25"" | Pack of 50 | Party Supply",3462.25,133
25,Peppa Pig Shape Sorter Clock Puzzle (12Piece),3332.3,146
26,Huffy Kids Bikes 16 & 20 inch with Streamers and BMX Pegs,37.58,45
27,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog,1427.39,226
28,Industro Stainless Steel Hose Clamps,1644.26,108
29,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42""",989.0,28
30,Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults,3704.12,141
31,Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included,2321.59,1
32,Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400,1354.0,61
33,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli",886383,38
34,TAMASHII NATIONS Bandai S.H. Figuarts Captain America & Tamashii Effect Explosion Avengers: Infinity War Action Figure,454.4,195
35,"Forum Novelties Union Officer Child's Costume, Medium",1640.59,184
36,"Weiler 14506 Nylox Cup Brush, 6"", 0.40/80SC Crimped Fill, 5/8""-11 UNC Nut",1631.32,101
37,Disney Mickey Golf Ball Spinner Pewter Key Ring Key Accessory,1266.58,102
38,"Anagram International 3085101 Go Team Megaphone Shop Balloon Pack, 29""",3886.93,91
39,"Happy Birthday Jointed Letter Banner, Under Construction",3402.68,111
40,Poopsie Unicorn Crush with Glitter and Slime Surprise (2-Pack),3907.55,199
41,Funko Pop! Games: Persona 5 - The Joker (Styles May Vary),3909.39,324
42,Klutz Decorate This Journal Toy,657.0,303
43,Random Esoteric Creature Generator for Classic Fantasy Rpgs & Their Modern Simulacra,2170.08,290
44,Bachmann Trains Great Northern Gondola,547.95,20
45,"Disney's Alice in Wonderland, ""The Hatter's Mad"" Woven Tapestry Throw Blanket, 48"" x 60"", Multi Color",2359.16,95
46,Pacific Play Tent Agility Dog Training Chute,1362.1,241
47,Barbie Babysitters Inc. Popcorn Set,960.0,197
48,"Losi Ride Height Gauge, LOSA99173",1054.26,21
49,Melissa & Doug Disney Cinderella Rags to Riches Wooden Magnetic Game With 10 Magnetic Pieces and Wand,1285.26,220
50,VTech Twist and Hug Koala Rattle,2630.52,325
51,"LAMO 5"" Vinyl Figure - Legacy Gamers Dr Disrespect, Red",1338.59,70
52,"Marvel Avengers Assemble Captain America Costume T-Shirt with Mask, Small",3511.19,171
53,"Vallejo Game Color Sunblast Yellow Paint, 17ml",1261.79,258
54,"Mudpuppy Unicorn Magic Activity Coloring Roll, Age 4+, Creative Fun with Coloring, Mazes, Spot The Difference and More, Includes 5 Colored Pencils, Easy to Store Unicorn Paper Roll",1444.26,105
55,Top Trumps Liverpool FC 18/19 Card Game,947871,179
56,Hot Wheels Track Builder Straight Track with Car AND Hot Wheels Race Case Track Set,3861.83,322
57,"Wild Republic Mermaid Toy, Slap Bracelet, Gifts for Kids, Purple, Huggers 12""",2513.27,37
58,Melissa & Doug Annie Doll & Feeding Set Bundle,1337.46,165
59,"LeapFrog LeapStart Preschool 4-in-1 Activity Book Bundle with ABC, Shapes & Colors, Math, Animals",2628.0,291
60,Sherlock Holmes - The Challenge of Irene Adler,2908.0,100
61,Great Eastern Entertainment Boys Attack On Titan - Levi Wallet,463894,113
62,Domez My Hero Academia 4-Piece Bundle,2630.65,205
63,"Paw Patrol, Mighty Pups Charged Up Chase�s Deluxe Vehicle with Lights and Sounds",1962.66,298
64,Alex Discover Button Art Activity Set Kids Art and Craft Activity,2107.23,114
65,DC Collectibles DCTV: Black Lightning Resin Statue,2422.3,155
66,Rubie's Adult 2-Tone Costume Wig,1123.81,40
67,Funko Pop! Rides: Mulan - Mulan On Khan,75.3355,85
